date,fund balance,reserve ratio
2003-3-1,44288,1.304194815751445086705202312
2003-6-1,44883,1.314228995388008822939643072
2003-9-1,45648,1.334026025236593059936908517
2003-12-1,46022,1.333297987918821433227586806
2004-3-1,46558,1.331296447441900425275999828
2004-6-1,46521,1.318003482298316889146836912
2004-9-1,46990,1.322665035113854011491806767
2004-12-1,47507,1.310710000631485886290441409
2005-3-1,47617,1.283433227628788037885629082
2005-6-1,48023,1.276153509776565395747870812
2005-9-1,48373,1.263477559795753829615694706
2005-12-1,48596,1.246209976129722610914478558
2006-3-1,49193,1.23
2006-6-1,49564,1.23
2006-9-1,49992,1.22
2006-12-1,50165,1.21
2007-3-1,50745,1.20
2007-6-1,51227,1.21
2007-9-1,51754,1.22
2007-12-1,52413,1.22
2008-3-1,52843,1.19
2008-6-1,45217,1.01
2008-9-1,34588,0.76
2008-12-1,18889,0.40
