2009-03-13 00:00:00,Purchase,Preferred Stock w/Warrants,72927000,Par,YES,,First Place Financial Corp.,,Warren,,OH,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/Warrants,8816000,Par,YES,,"Salisbury Bancorp, Inc.",,Lakeville,,CT,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/Warrants,17390000,Par,YES,,First Northern Community Bancorp,,Dixon,,CA,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/Warrants,1224558000,Par,YES,,Discover Financial Services,,Riverwoods,,IL,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/Warrants,9266000,Par,YES,,"Provident Community Bancshares, Inc.",,Rock Hill,,SC,,
2009-03-13 00:00:00,Purchase,Preferred Stock,17000000,Par,YES,,First American International Corp.,,Brooklyn,,NY,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,21100000,Par,YES,,"BancIndependent, Inc.",,Sheffield,,AL,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,425000,Par,YES,,"Haviland Bancshares, Inc.",,Haviland,,KS,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,10000000,Par,YES,,"1st United Bancorp, Inc.",,Boca Raton,,FL,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,3370000,Par,YES,,Madison Financial Corporation,,Richmond,,KY,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,3000000,Par,YES,,"St. Johns Bancshares, Inc.",,St. Louis,,MO,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,10000000,Par,YES,,"Blackhawk Bancorp, Inc.",,Beloit,,WI,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,6000000,Par,YES,,IBW Financial Corporation,,Washington,,DC,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,607000,Par,YES,,"Butler Point, Inc.",,Catlin,,IL,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,2672000,Par,YES,,Bank of George,,Las Vegas,,NV,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,9516000,Par,YES,,Moneytree Corporation,,Lenoir City,,TN,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,18215000,Par,YES,,"Sovereign Bancshares, Inc.",,Dallas,,TX,,
2009-03-13 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,6398000,Par,YES,,First Intercontinental Bank,,Doraville,,GA,,
